date,enf1,enf2,enf3,enf4,txenf2,txenf3,txenf4,im_plancher,im_plafond,pt_indice_euro,pt_indice_nominal,smic_h,htp,smic_m,GMR1,GMR2,GMR3,GMR4,GMR5,smig_h_sans_ab,smig_h_ab_max,smig_brut
1950-01,,,,,,,,,,,,,,,,,,,,,,
1950-02,,,,,,,,,,,,,,,,,,,,,,
1950-03,,,,,,,,,,,,,,,,,,,,,,
1950-04,,,,,,,,,,,,,,,,,,,,,,
1950-05,,,,,,,,,,,,,,,,,,,,,,
1950-06,,,,,,,,,,,,,,,,,,,,,,
1950-07,,,,,,,,,,,,,,,,,,,,,,
1950-08,,,,,,,,,,,,,,,,,,,,,,
1950-09,,,,,,,,,,,,,,,,,,,,78.0,64.0,13519.740000000002
1950-10,,,,,,,,,,,,,,,,,,,,78.0,64.0,13519.740000000002
1950-11,,,,,,,,,,,,,,,,,,,,78.0,64.0,13519.740000000002
1950-12,,,,,,,,,,,,,,,,,,,,78.0,64.0,13519.740000000002
1951-01,,,,,,,,,,,,,,,,,,,,78.0,64.0,13519.740000000002
1951-02,,,,,,,,,,,,,,,,,,,,78.0,64.0,13519.740000000002
1951-03,,,,,,,,,,,,,,,,,,,,78.0,64.0,13519.740000000002
1951-04,,,,,,,,,,,,,,,,,,,,87.0,74.0,15079.710000000001
1951-05,,,,,,,,,,,,,,,,,,,,87.0,74.0,15079.710000000001
1951-06,,,,,,,,,,,,,,,,,,,,87.0,75.25,15079.710000000001
1951-07,,,,,,,,,,,,,,,,,,,,87.0,75.25,15079.710000000001
1951-08,,,,,,,,,,,,,,,,,,,,87.0,75.25,15079.710000000001
1951-09,,,,,,,,,,,,,,,,,,,,100.0,86.5,17333.0
1951-10,,,,,,,,,,,,,,,,,,,,100.0,86.5,17333.0
1951-11,,,,,,,,,,,,,,,,,,,,100.0,86.5,17333.0
1951-12,,,,,,,,,,,,,,,,,,,,100.0,86.5,17333.0
1952-01,,,,,,,,,,,,,,,,,,,,100.0,86.5,17333.0
1952-02,,,,,,,,,,,,,,,,,,,,100.0,86.5,17333.0
1952-03,,,,,,,,,,,,,,,,,,,,100.0,86.5,17333.0
1952-04,,,,,,,,,,,,,,,,,,,,100.0,86.5,17333.0
1952-05,,,,,,,,,,,,,,,,,,,,100.0,86.5,17333.0
1952-06,,,,,,,,,,,,,,,,,,,,100.0,86.5,17333.0
1952-07,,,,,,,,,,,,,,,,,,,,100.0,86.5,17333.0
1952-08,,,,,,,,,,,,,,,,,,,,100.0,86.5,17333.0
1952-09,,,,,,,,,,,,,,,,,,,,100.0,86.5,17333.0
1952-10,,,,,,,,,,,,,,,,,,,,100.0,86.5,17333.0
1952-11,,,,,,,,,,,,,,,,,,,,100.0,86.5,17333.0
1952-12,,,,,,,,,,,,,,,,,,,,100.0,86.5,17333.0
1953-01,,,,,,,,,,,,,,,,,,,,100.0,86.5,17333.0
1953-02,,,,,,,,,,,,,,,,,,,,100.0,86.5,17333.0
1953-03,,,,,,,,,,,,,,,,,,,,100.0,86.5,17333.0
1953-04,,,,,,,,,,,,,,,,,,,,100.0,86.5,17333.0
1953-05,,,,,,,,,,,,,,,,,,,,100.0,86.5,17333.0
1953-06,,,,,,,,,,,,,,,,,,,,100.0,86.5,17333.0
1953-07,,,,,,,,,,,,,,,,,,,,100.0,86.5,17333.0
1953-08,,,,,,,,,,,,,,,,,,,,100.0,86.5,17333.0
1953-09,,,,,,,,,,,,,,,,,,,,100.0,86.5,17333.0
1953-10,,,,,,,,,,,,,,,,,,,,100.0,86.5,17333.0
1953-11,,,,,,,,,,,,,,,,,,,,100.0,86.5,17333.0
1953-12,,,,,,,,,,,,,,,,,,,,100.0,86.5,17333.0
1954-01,,,,,,,,,,,,,,,,,,,,100.0,86.5,17333.0
