date,trimfp_base,trimfp_0144,trimfp_0145,trimfp_0146,trimfp_0147,trimfp_0148,trimfp_0149,trimfp_0150,trimfp_0151,trimfp_0152,trimfp_0153,trimfp_0155,trimfp_0158,trimfp_0161,trimfp_0164,trimfp_0167,trimfp_0170,trimfp_0173,surcotefp,sal_ref_ircantec,sal_ref_igrante,sal_ref_ipacte,trimmaxfp_base,trimmaxfp_0144,trimmaxfp_0145,trimmaxfp_0146,trimmawfp_0147,trimmaxfp_0148,trimmaxfp_0149,trimmaxfp_0150,trimmaxfp_0151,trimmaxfp_0152,trimmaxfp_0153,trimmaxfp_0155,trimmaxfp_0158,trimmaxfp_0161,trimmaxfp_0164,trimmaxfp_0167,trimmaxfp_0170,trimmaxfp_0173,ageleg_base,ageleg_0751,ageleg_0152,ageleg_0153,ageleg_0154,ageleg_0155,ageleg_0156,agelimfp_base,agelimfp_0751,agelimfp_0152,agelimfp_0153,agelimfp_0154,agelimfp_0155,agelimfp_0156,decotefp_06,decotefp_07,decotefp_08,decotefp_09,decotefp_10,decotefp_11,decotefp_12,decotefp_13,decotefp_14,decotefp_15,organic_base,organic_rachat,point_cancava_base,point_cancava_base_trim,nbsam_base,nbsam_0134,nbsam_0135,nbsam_0136,nbsam_0137,nbsam_0138,nbsam_0139,nbsam_0140,nbsam_0141,nbsam_0142,nbsam_0143,nbsam_0144,nbsam_0145,nbsam_0146,nbsam_0147,nbsam_0148,gmp,sal_ref_unirs_nom,sal_ref_arrco_euros,salref_cnro_nom,salref_cnro,val_point_arcco_nom,val_point_arrco,val_point_arrco_nom,val_point_arrco_eur,sal_ref_arrco_nom,val_point_agirc,sal_ref_agirc_nominal,sal_ref_agirc_euros,revalospc,revalospc_pct,min_cont,min_cont_mensuel,min_cont_maj,min_cont_maj_mensuel,coeff_revalo_initial,trimplein_base,trimplein_0134,trimplein_0135,trimplein_0136,trimplein_0137,trimplein_0138,trimplein_0139,trimplein_0140,trimplein_0141,trimplein_0142,trimplein_0143,trimplein_0149,trimplein_0150,trimplein_0151,trimplein_0152,trimplein_0153,trimplein_0155,trimplein_0158,trimplein_0161,trimplein_0164,trimplein_0167,trimplein_0170,trimplein_0173,ageplein_base,ageplein_0751,ageplein_0152,ageplein_0153,ageplein_0154,ageplein_0155,ageplein_0156,decote_base,decote_0144,decote_0145,decote_0146,decote_0147,decote_0148,decote_0149,decote_0150,decote_0151,decote_0152,decote_0153,revalorg,revalorg_pct,saltrim_metro,saltrim_ggm,saltrim_reu,surcote_base,surcote_0103,surcote_0104_14,surcote_0104_5,surcote_0104_65,surcote_0109,nbtrim_base,nbtrim_0144,nbtrim_0145,nbtrim_0146,nbtrim_0147,nbtrim_0148,nbtrim_0149,nbtrim_0150,nbtrim_0151,nbtrim_0152,nbtrim_0153,nbtrim_0155,nbtrim_0158,nbtrim_0161,nbtrim_0164,nbtrim_0167,nbtrim_0170,nbtrim_0173
1925-01,,,,,,,,,,,,,,,,,,,,,,0.00419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1925-02,,,,,,,,,,,,,,,,,,,,,,0.00419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1925-03,,,,,,,,,,,,,,,,,,,,,,0.00419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1925-04,,,,,,,,,,,,,,,,,,,,,,0.00419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1925-05,,,,,,,,,,,,,,,,,,,,,,0.00419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1925-06,,,,,,,,,,,,,,,,,,,,,,0.00419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1925-07,,,,,,,,,,,,,,,,,,,,,,0.00419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1925-08,,,,,,,,,,,,,,,,,,,,,,0.00419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1925-09,,,,,,,,,,,,,,,,,,,,,,0.00419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1925-10,,,,,,,,,,,,,,,,,,,,,,0.00419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
